# utm_east, utm_north, elevation
597338.685,7506789.948,440.59991
597346.080,7506792.950,440.72708
597353.475,7506795.951,441.07169
597360.869,7506798.956,441.29471
597368.225,7506802.051,441.49847
597375.581,7506805.147,441.91309
597382.935,7506808.247,442.19604
597390.256,7506811.427,442.28629
597397.576,7506814.606,442.33990
597404.896,7506817.787,442.44891
597412.208,7506820.986,442.40765
597419.519,7506824.185,442.42233
597426.831,7506827.384,442.51831
597434.085,7506830.712,442.45557
597441.336,7506834.046,442.51437
597448.587,7506837.381,442.55707
597455.574,7506841.239,442.43060
597462.558,7506845.101,442.22501
597469.538,7506848.970,442.18872
597476.382,7506853.076,441.96704
597483.226,7506857.182,441.78403
597490.055,7506861.310,441.61981
597496.623,7506865.845,441.46979
597503.190,7506870.380,441.25531
597509.752,7506874.922,441.05942
597516.186,7506879.645,440.83871
597522.620,7506884.367,440.51535
597529.042,7506889.104,440.31842
597534.920,7506894.503,440.06152
597540.798,7506899.901,439.84586
597546.676,7506905.300,439.67508
597552.194,7506911.037,439.39600
597557.220,7506917.237,438.99387
597562.245,7506923.437,438.67975
597567.288,7506929.623,438.32529
597572.330,7506935.810,437.81519
597577.370,7506941.998,437.39673
597581.845,7506948.606,437.18756
597586.320,7506955.214,436.93060
597590.795,7506961.823,436.77917
597595.082,7506968.555,436.51752
597599.366,7506975.288,436.19852
597603.651,7506982.022,435.93997
597607.337,7506989.098,435.62610
597610.969,7506996.204,435.38785
597614.601,7507003.311,435.10107
597617.931,7507010.564,434.87732
597621.241,7507017.826,434.70108
597624.549,7507025.089,434.39392
597627.272,7507032.591,434.23279
597629.996,7507040.093,434.01031
597632.719,7507047.595,433.81046
597635.177,7507055.187,433.64008
597637.623,7507062.784,433.49609
597640.069,7507070.381,433.23694
597642.139,7507078.089,433.02246
597644.185,7507085.803,432.91879
597646.232,7507093.517,432.76141
597647.530,7507101.390,432.60181
597648.791,7507109.271,432.38602
597650.053,7507117.151,432.14755
597650.681,7507125.102,432.00708
597651.179,7507133.068,431.81732
597651.677,7507141.033,431.57568
597652.118,7507149.002,431.29111
597652.551,7507156.971,431.04898
597652.983,7507164.940,430.83392
597653.578,7507172.899,430.70813
597654.194,7507180.856,430.47601
597654.811,7507188.813,430.18103
597655.153,7507196.786,429.98914
597655.460,7507204.761,429.94250
597655.767,7507212.737,429.83365
597656.296,7507220.700,429.66766
597656.856,7507228.661,429.57022
597657.415,7507236.622,429.46704
597658.239,7507244.560,429.40640
597659.087,7507252.496,429.23483
597659.935,7507260.432,428.97910
597660.582,7507268.386,428.93890
597661.199,7507276.343,429.13071
597661.816,7507284.300,429.33145
597662.561,7507292.247,429.44601
597663.323,7507300.191,429.65594
597664.086,7507308.135,430.02335
597664.631,7507316.098,430.31677
597665.169,7507324.061,430.48141
597665.708,7507332.023,430.69858
597666.367,7507339.977,430.99686
597667.040,7507347.930,431.48410
597667.713,7507355.882,431.89240
597668.235,7507363.846,432.17276
597668.737,7507371.811,432.35349
597669.239,7507379.776,432.67715
597669.558,7507387.751,433.05521
597669.865,7507395.726,433.40436
597670.172,7507403.701,433.73676
597670.891,7507411.649,434.07919
597671.641,7507419.594,434.32596
597672.392,7507427.540,434.68942
597672.821,7507435.509,434.96722
597673.244,7507443.479,435.28220
597673.667,7507451.449,435.71173
597674.398,7507459.396,436.18951
597675.155,7507467.341,436.66241
597675.911,7507475.286,436.94485
597676.938,7507483.201,437.37872
597677.965,7507491.115,437.90829
597678.992,7507499.030,438.41635
597680.506,7507506.865,438.77454
597682.049,7507514.695,438.96417
597683.591,7507522.526,439.30618
597683.897,7507530.482,439.69778
597683.959,7507538.463,440.07108
597684.021,7507546.444,440.40787
597684.411,7507554.414,440.71545
597684.857,7507562.382,440.91714
597685.303,7507570.351,441.20554
597685.854,7507578.313,441.44101
597686.410,7507586.274,441.62598
597686.965,7507594.236,441.92319
597687.465,7507602.201,442.21408
597687.962,7507610.167,442.36258
597688.456,7507618.132,442.53000
597688.046,7507626.103,442.68542
597687.637,7507634.073,442.90085
597687.228,7507642.044,443.12195
597687.152,7507650.024,443.13748
597687.093,7507658.005,442.98279
597687.035,7507665.986,442.89822
597686.425,7507673.942,442.81931
597685.777,7507681.897,442.75031
597685.129,7507689.851,442.62604
597684.169,7507697.774,442.53119
597683.194,7507705.695,442.48999
597682.142,7507713.602,442.44614
597680.129,7507721.325,442.34274
597678.117,7507729.048,442.11438
597676.105,7507736.771,441.92377
597674.005,7507744.471,441.84503
597671.891,7507752.167,441.73053
597669.776,7507759.862,441.59296
597667.430,7507767.490,441.44925
597665.046,7507775.107,441.35043
597662.663,7507782.724,441.24179
597659.872,7507790.199,441.12732
597657.003,7507797.646,440.96161
