# utm_east, utm_north, elevation
597504.599,7506875.360,441.18219
597510.603,7506880.508,441.05496
597517.037,7506885.230,440.76666
597523.885,7506889.388,440.38803
597529.749,7506894.234,440.21179
597535.627,7506899.632,440.00223
597541.505,7506905.031,439.80725
597547.382,7506910.430,439.63715
597552.143,7506916.215,439.27139
597557.169,7506922.415,438.95016
597562.209,7506928.615,438.59796
597567.251,7506934.801,438.07938
597572.294,7506940.988,437.54459
597576.875,7506947.152,437.21320
597581.350,7506953.760,437.05695
597585.825,7506960.369,436.81470
597590.155,7506966.960,436.67368
597594.440,7506973.693,436.44122
597598.725,7506980.427,436.06509
597602.582,7506987.046,435.74707
597606.214,7506994.153,435.44891
597609.847,7507001.259,435.23932
597613.273,7507008.301,434.96384
597616.583,7507015.563,434.81000
597619.894,7507022.825,434.53232
597622.809,7507029.966,434.24777
597625.532,7507037.468,434.08878
597628.255,7507044.970,433.88242
597630.813,7507052.400,433.70569
597633.259,7507059.997,433.58072
597635.705,7507067.594,433.33322
597637.926,7507075.078,433.09470
597640.939,7507082.536,432.96271
597642.985,7507090.250,432.81329
597644.628,7507097.813,432.65912
597645.889,7507105.694,432.46957
597647.447,7507113.527,432.30273
597648.436,7507121.244,432.06668
597648.934,7507129.210,431.88150
597649.432,7507137.175,431.66840
597650.205,7507145.109,431.38602
597650.637,7507153.079,431.19958
597651.070,7507161.048,430.95667
597651.574,7507169.052,430.76373
597652.191,7507177.009,430.56488
597652.808,7507184.966,430.27762
597652.402,7507192.899,430.05682
597652.708,7507200.874,429.96271
597653.415,7507208.834,429.90668
597653.821,7507216.873,429.77585
597654.381,7507224.835,429.61880
597654.941,7507232.796,429.50989
597655.627,7507240.826,429.41748
597656.475,7507248.762,429.29855
597657.323,7507256.698,429.14600
597658.080,7507264.578,428.93637
597658.697,7507272.535,428.99982
597659.314,7507280.492,429.24429
597659.989,7507288.485,429.38870
597660.752,7507296.429,429.55768
597661.515,7507304.373,429.75891
597662.166,7507312.265,430.09189
597662.705,7507320.228,430.37775
597663.244,7507328.190,430.60962
597663.838,7507336.186,430.87848
597664.511,7507344.139,431.29105
597665.184,7507352.091,431.60806
597665.789,7507360.002,431.97861
597666.291,7507367.967,432.24615
597666.792,7507375.932,432.56326
597667.206,7507383.848,432.91357
597667.513,7507391.823,433.26959
597667.820,7507399.798,433.49866
597668.325,7507407.883,433.83328
597669.076,7507415.828,434.19138
597669.827,7507423.774,434.56564
597670.413,7507431.641,434.86130
597670.836,7507439.611,435.14545
597671.258,7507447.580,435.39740
597671.830,7507455.632,435.85925
597672.586,7507463.577,436.34656
597673.343,7507471.522,436.79205
597674.243,7507479.526,437.21448
597675.270,7507487.441,437.72174
597676.297,7507495.356,438.27014
597677.576,7507503.375,438.56506
597679.119,7507511.205,438.87582
597680.661,7507519.036,439.20413
597681.666,7507526.509,439.60574
597681.728,7507534.489,439.86984
597681.790,7507542.470,440.23328
597681.991,7507550.553,440.55646
597682.437,7507558.521,440.86169
597682.883,7507566.490,441.16245
597683.382,7507574.485,441.36832
597683.937,7507582.447,441.58789
597684.493,7507590.408,441.76517
597685.020,7507598.356,442.08685
597685.518,7507606.321,442.35983
597686.016,7507614.287,442.53348
597685.854,7507621.995,442.67261
597685.145,7507629.950,442.85904
597685.635,7507637.966,443.02487
597685.831,7507646.024,443.19867
597685.973,7507654.006,443.12573
597685.914,7507661.987,442.96118
597685.125,7507669.832,442.87479
597684.706,7507677.806,442.78986
597684.157,7507685.768,442.70798
597683.366,7507693.655,442.59045
597682.391,7507701.576,442.52731
597681.416,7507709.497,442.47043
597679.877,7507717.136,442.39856
597677.865,7507724.859,442.27319
597675.853,7507732.582,442.04163
597673.809,7507740.279,441.87967
597671.695,7507747.974,441.76782
597669.580,7507755.670,441.68851
597667.381,7507763.294,441.54977
597664.998,7507770.910,441.39716
597662.614,7507778.527,441.26984
597660.093,7507786.008,441.20694
597657.224,7507793.455,441.03940
597654.355,7507800.902,440.74600
597651.611,7507808.453,440.52905
597649.054,7507816.013,440.19495
597646.496,7507823.573,439.81903
597643.915,7507831.112,439.56696
597641.287,7507838.648,439.21805
597638.658,7507846.183,438.88882
597636.018,7507853.708,438.66159
597633.352,7507861.231,438.33801
597630.687,7507868.754,437.89233
597628.034,7507876.288,437.54800
597625.405,7507883.823,437.09927
597622.777,7507891.359,436.67673
597620.221,7507898.957,436.43103
597617.803,7507906.563,436.11490
597615.386,7507914.169,435.69092
597612.910,7507921.727,435.26059
597610.332,7507929.280,435.03976
597607.754,7507936.833,434.76733
597604.966,7507944.216,434.49622
597601.900,7507951.585,434.33850
597598.834,7507958.953,434.07288
597595.920,7507966.536,433.85687
597592.678,7507973.911,433.80057
597590.493,7507981.588,433.70856
597588.245,7507989.181,433.55096
597585.865,7507996.798,433.40228
597583.675,7508004.476,433.09103
597581.355,7508012.159,432.84750
597578.747,7508019.712,432.78604
597576.524,7508027.377,432.73697
597574.134,7508034.822,432.58765
597571.448,7508042.338,432.50546
597568.763,7508049.854,432.51205
597566.144,7508057.464,432.54141
597563.656,7508065.047,432.59705
