# iRec,fRec
0,72
1,73
2,74
3,75
4,76
5,77
6,78
7,79
8,80
9,81
10,82
11,83
12,84
13,85
14,86
15,87
16,88
17,89
18,90
19,91
20,92
21,93
22,94
23,95
24,96
25,97
26,98
27,99
28,100
29,101
30,102
31,103
32,104
33,105
34,106
35,107
36,108
37,109
38,110
39,111
40,112
41,113
42,114
43,115
44,116
45,117
46,118
47,119
48,120
49,121
50,122
51,123
52,124
53,125
54,126
55,127
56,128
57,129
58,130
59,131
60,132
61,133
62,134
63,135
64,136
65,137
66,138
67,139
68,140
69,141
70,142
71,143
72,144
73,145
74,146
75,147
76,148
77,149
78,150
79,151
80,152
81,153
82,154
83,155
84,156
85,157
86,158
87,159
88,160
89,161
90,162
91,163
92,164
93,165
94,166
95,167
96,168
97,169
98,170
99,171
100,172
101,173
102,174
103,175
104,176
105,177
106,178
107,179
108,180
109,181
110,182
111,183
112,184
113,185
114,186
115,187
116,188
117,189
118,190
119,191
120,192
121,193
122,194
123,195
124,196
125,197
126,198
127,199
128,200
129,201
130,202
131,203
132,204
133,205
134,206
135,207
136,208
137,209
138,210
139,211
140,212
141,213
142,214
143,215
144,216
145,217
146,218
147,219
148,220
149,221
150,222
151,223
152,224
153,225
154,226
155,227
156,228
157,229
158,230
159,231
160,232
161,233
162,234
163,235
164,236
165,237
166,238
167,239
168,240
169,241
170,242
171,243
172,244
173,245
174,246
175,247
176,248
177,249
178,250
179,251
180,252
181,253
182,254
183,255
184,256
185,257
186,258
187,259
188,260
189,261
190,262
191,263
192,264
193,265
194,266
195,267
196,268
197,269
198,270
199,271
200,272
201,273
202,274
203,275
204,276
205,277
206,278
207,279
208,280
209,281
210,282
211,283
212,284
213,285
214,286
215,287
216,288
217,289
218,290
219,291
220,292
221,293
222,294
223,295
224,296
225,297
226,298
227,299
228,300
229,301
230,302
231,303
232,304
233,305
234,306
235,307
236,308
237,309
238,310
239,311
240,312
